Category A,,,
Category A,Category A-1,,
Category A,,Term A-1-1,http://www.wikidata.org/entity/Q2095
Category A,,Term A-1-2,http://www.wikidata.org/entity/Q107558649
Category A,,Term A-1-3,http://www.wikidata.org/entity/Q3243069
Category A,Category A-2,,
Category A,,Term A-2-1,http://www.wikidata.org/entity/Q2095
Category A,,Term A-2-2,http://www.wikidata.org/entity/Q107558649
Category B,,,
Category B,Category B-1,,
Category B,,Term B-1-1,http://www.wikidata.org/entity/Q107558649
Category B,,Term B-1-2,http://www.wikidata.org/entity/Q3243069
